Tag (current label),Primary/secondary layer,Notes,
LIVER,,Secondary,Child of meat,
LOBSTER,,Secondary,Child of fish,
MACKEREL,,Secondary,Child of FIsh,
MANGO,,Secondary,Child of Fruit,
MINT,,Primary,,
MONKFISH,,Secondary,Child of FIsh,
MUSSELS,,Secondary,Child of FIsh,
NEW-POTATOES,,Secondary,Child of Vegetable,
PASTRY,,Primary,,
PEAR,,Secondary,Child of Fruit,
PESTO,,Primary,,
PIZZA-DOUGH,,Primary,,
POLENTA,,Primary,,
QUICHE,,Primary,,
RHUBARB,,Secondary,Child of Fruit,
ROAST,,Primary,,
ROAST-POTATOES,,Secondary,Child of Vegetable,
SALSA,,Primary,,
SORBET,,Primary,,
SOUP,,Primary,,
SPINACH,,Secondary,Child of Vegetable,
STRAWBERRIES,,Secondary,Child of fruit,
TAPAS,,Primary,,
TORTILLA,,Primary,,
VEGETABLE,Primary,,
YORKSHIRE-PUDDINGS,,Primary,,
ORANGE,Secondary,Child of Fruit,
CHERRY,Secondary,Child of Fruit,
LIME,Secondary,Child of Fruit,
Goose,Secondary,Child of Meat,
Ribs,Secondary,Child of Meat,
TROUT,Secondary,Child of FIsh,
TUNA,Secondary,Child of FIsh,
VENISON,Secondary,Child of Meat,
BROAD BEANS,Secondary,Secondary under vegetable,
BEEF STEAK,Secondary,UPDATE TAG: Relabel to steak,Secondary under Meat,
KALE,Secondary,Child of Vegetable,
PARSNIP,Secondary,Child of Vegetable,
BRUSSELS SPROUTS,Secondary,Child of Vegetable,
CHARD,Secondary,Child of Vegetable,
Grains & pulses,Primary,,
Get kids cooking,Primary,UPDATE TAG: Cooking with kids,
